Happy_comment_word,Happy_number_use_for_word,Sad_comment_word,Sad_number_use_for_word,All_number_use_for_word
کتف,23.0,کتف,50.0,73.0
۵۰۰,18.0,۵۰۰,55.0,73.0
جاها,49.0,جاها,24.0,73.0
تاحالا,19.0,تاحالا,54.0,73.0
میدونم,20.0,میدونم,53.0,73.0
زیبا,57.0,زیبا,16.0,73.0
واقعن,28.0,واقعن,45.0,73.0
ردولوت,24.0,ردولوت,49.0,73.0
عذرخواهی,18.0,عذرخواهی,55.0,73.0
هوا,47.0,هوا,26.0,73.0
توهین,9.0,توهین,64.0,73.0
نمی‌کنم,8.0,نمی‌کنم,65.0,73.0
می‌شود,32.0,می‌شود,41.0,73.0
نمی‌ارزید,21.0,نمی‌ارزید,52.0,73.0
شامل,26.0,شامل,47.0,73.0
۲۵,28.0,۲۵,45.0,73.0
بخورم.,10.0,بخورم.,62.0,72.0
صرفا,19.0,صرفا,53.0,72.0
چیه,19.0,چیه,53.0,72.0
جور,33.0,جور,39.0,72.0
واقعا.,31.0,واقعا.,41.0,72.0
‌,29.0,‌,43.0,72.0
منظم,68.0,منظم,4.0,72.0
دفعه‌های,28.0,دفعه‌های,44.0,72.0
نخود,25.0,نخود,47.0,72.0
گرونه,53.0,گرونه,19.0,72.0
بدستمون,40.0,بدستمون,32.0,72.0
آلپارو,48.0,آلپارو,24.0,72.0
اصل,20.0,اصل,52.0,72.0
ضخیم,20.0,ضخیم,52.0,72.0
برگرها,27.0,برگرها,45.0,72.0
کش,25.0,کش,47.0,72.0
خودمون,33.0,خودمون,39.0,72.0
دلیوری,52.0,دلیوری,20.0,72.0
شما.,61.0,شما.,11.0,72.0
ایران,38.0,ایران,34.0,72.0
موهیتو,37.0,موهیتو,35.0,72.0
درود,57.0,درود,15.0,72.0
اینترنتی,21.0,اینترنتی,51.0,72.0
چیزکیک,30.0,چیزکیک,41.0,71.0
بازهم,40.0,بازهم,31.0,71.0
نکردم,30.0,نکردم,41.0,71.0
گذاشت,24.0,گذاشت,47.0,71.0
بهتره.,51.0,بهتره.,20.0,71.0
سریع،,70.0,سریع،,1.0,71.0
فروش,26.0,فروش,45.0,71.0
بریان,25.0,بریان,46.0,71.0
بخوریم,15.0,بخوریم,56.0,71.0
نون‌ها,43.0,نون‌ها,28.0,71.0
خورد.,16.0,خورد.,55.0,71.0
کوک,31.0,کوک,40.0,71.0
داره،,29.0,داره،,42.0,71.0
بى,8.0,بى,63.0,71.0
یاد,24.0,یاد,47.0,71.0
زردچوبه,20.0,زردچوبه,50.0,70.0
اسلایس,26.0,اسلایس,44.0,70.0
کردم،,25.0,کردم،,45.0,70.0
معنای,20.0,معنای,50.0,70.0
عجیبی,20.0,عجیبی,50.0,70.0
منفی,32.0,منفی,38.0,70.0
نو,42.0,نو,28.0,70.0
درش,13.0,درش,57.0,70.0
بگید,14.0,بگید,56.0,70.0
ایجاد,32.0,ایجاد,38.0,70.0
اخیر,17.0,اخیر,53.0,70.0
ماشروم,31.0,ماشروم,39.0,70.0
چسب,33.0,چسب,37.0,70.0
اثر,22.0,اثر,48.0,70.0
قیمتها,46.0,قیمتها,24.0,70.0
دهن,16.0,دهن,54.0,70.0
دارچین,34.0,دارچین,36.0,70.0
اخر,19.0,اخر,51.0,70.0
بدلیل,24.0,بدلیل,45.0,69.0
فاقد,14.0,فاقد,55.0,69.0
نقص,67.0,نقص,2.0,69.0
روغنش,44.0,روغنش,25.0,69.0
کالاها,45.0,کالاها,24.0,69.0
غالب,20.0,غالب,49.0,69.0
متر,25.0,متر,44.0,69.0
میارن,34.0,میارن,35.0,69.0
کلمه,22.0,کلمه,47.0,69.0
هاشون,46.0,هاشون,23.0,69.0
کنسل,11.0,کنسل,58.0,69.0
دارد.,34.0,دارد.,35.0,69.0
کنه.,33.0,کنه.,36.0,69.0
موتور,30.0,موتور,39.0,69.0
بوقلمون,23.0,بوقلمون,46.0,69.0
چشم,31.0,چشم,38.0,69.0
بودیم.,45.0,بودیم.,24.0,69.0
فکری,37.0,فکری,32.0,69.0
غذاهاش,42.0,غذاهاش,27.0,69.0
ایرادی,60.0,ایرادی,9.0,69.0
تازه.,66.0,تازه.,2.0,68.0
بودن!,12.0,بودن!,56.0,68.0
لااقل,15.0,لااقل,53.0,68.0
پ-ن-,39.0,پ-ن-,29.0,68.0
کشیده,22.0,کشیده,46.0,68.0
کوتاه,32.0,کوتاه,36.0,68.0
bod,39.0,bod,29.0,68.0
برم,28.0,برم,40.0,68.0
۲۰۰,16.0,۲۰۰,52.0,68.0
رستورانهای,31.0,رستورانهای,37.0,68.0
سفارشو,23.0,سفارشو,45.0,68.0
زحمات,54.0,زحمات,14.0,68.0
خریداری,17.0,خریداری,51.0,68.0
میشه،,34.0,میشه،,34.0,68.0
رسید!,27.0,رسید!,40.0,67.0
زخم,7.0,زخم,60.0,67.0
اندازه‌ی,21.0,اندازه‌ی,46.0,67.0
کوکی,31.0,کوکی,36.0,67.0
حسابی,39.0,حسابی,28.0,67.0
می‌داد.,11.0,می‌داد.,56.0,67.0
دائم,32.0,دائم,35.0,67.0
الکی,17.0,الکی,50.0,67.0
دارم.,42.0,دارم.,25.0,67.0
جعفری,28.0,جعفری,39.0,67.0
بارم,19.0,بارم,48.0,67.0
زولبیا,17.0,زولبیا,50.0,67.0
حالم,3.0,حالم,64.0,67.0
مزه.,23.0,مزه.,44.0,67.0
بطری,15.0,بطری,52.0,67.0
موسیر,22.0,موسیر,45.0,67.0
گرم،,58.0,گرم،,9.0,67.0
رسوندن,48.0,رسوندن,18.0,66.0
رفتاری,10.0,رفتاری,56.0,66.0
دلچسب,53.0,دلچسب,13.0,66.0
باهاش,27.0,باهاش,39.0,66.0
میزنه,26.0,میزنه,40.0,66.0
دارند,35.0,دارند,31.0,66.0
طبیعی,39.0,طبیعی,27.0,66.0
باشین,50.0,باشین,16.0,66.0
درخواستی,27.0,درخواستی,39.0,66.0
بیمزه,8.0,بیمزه,58.0,66.0
خوشمزگی,54.0,خوشمزگی,12.0,66.0
ندارند,18.0,ندارند,48.0,66.0
متاسفم.,2.0,متاسفم.,64.0,66.0
بفرستن,19.0,بفرستن,47.0,66.0
صفر,4.0,صفر,62.0,66.0
معطل,13.0,معطل,53.0,66.0
کچاپ,26.0,کچاپ,40.0,66.0
محصولی,16.0,محصولی,49.0,65.0
ست,45.0,ست,20.0,65.0
مکزیکی,26.0,مکزیکی,39.0,65.0
کوچیکتر,31.0,کوچیکتر,34.0,65.0
پیاده,19.0,پیاده,46.0,65.0
لای,12.0,لای,53.0,65.0
ممکنه,29.0,ممکنه,36.0,65.0
۲تا,30.0,۲تا,35.0,65.0
میفرستن,18.0,میفرستن,47.0,65.0
میخوام,23.0,میخوام,42.0,65.0
تیره,14.0,تیره,51.0,65.0
کجا,16.0,کجا,49.0,65.0
محتویاتش,31.0,محتویاتش,34.0,65.0
صورتیکه,17.0,صورتیکه,48.0,65.0
پسر,51.0,پسر,14.0,65.0
va,36.0,va,29.0,65.0
داشتند,28.0,داشتند,36.0,64.0
مثله,51.0,مثله,13.0,64.0
آخرم,5.0,آخرم,59.0,64.0
وای,43.0,وای,21.0,64.0
ظاهرش,22.0,ظاهرش,42.0,64.0
میگیرید,10.0,میگیرید,54.0,64.0
میگیره,24.0,میگیره,40.0,64.0
هرگز,4.0,هرگز,60.0,64.0
مثبت,24.0,مثبت,40.0,64.0
میگیرن,27.0,میگیرن,37.0,64.0
مناسب.,60.0,مناسب.,4.0,64.0
مهمتر,48.0,مهمتر,16.0,64.0
اوکی,47.0,اوکی,17.0,64.0
خدمت,40.0,خدمت,24.0,64.0
شیری,24.0,شیری,40.0,64.0
سختی,15.0,سختی,48.0,63.0
گویا,15.0,گویا,48.0,63.0
زمینى,24.0,زمینى,39.0,63.0
سفارش،,22.0,سفارش،,41.0,63.0
بمونید,55.0,بمونید,8.0,63.0
بذارن,38.0,بذارن,25.0,63.0
ردیف,21.0,ردیف,42.0,63.0
بخوام,30.0,بخوام,33.0,63.0
میگرفتم,17.0,میگرفتم,46.0,63.0
فرقی,17.0,فرقی,46.0,63.0
بودو,26.0,بودو,37.0,63.0
اخلاق,51.0,اخلاق,12.0,63.0
بود),31.0,بود),32.0,63.0
برسه.,28.0,برسه.,35.0,63.0
سانت,16.0,سانت,47.0,63.0
دوما,12.0,دوما,51.0,63.0
خیییلی,35.0,خیییلی,28.0,63.0
بده.,29.0,بده.,34.0,63.0
عالیه،,57.0,عالیه،,6.0,63.0
قیمت،,33.0,قیمت،,30.0,63.0
انتظارم,19.0,انتظارم,44.0,63.0
تجدید,27.0,تجدید,36.0,63.0
اندازش,34.0,اندازش,29.0,63.0
براشون,18.0,براشون,44.0,62.0
کودک,26.0,کودک,36.0,62.0
فرایز,40.0,فرایز,22.0,62.0
صبح,29.0,صبح,33.0,62.0
اذیت,34.0,اذیت,28.0,62.0
براش,28.0,براش,34.0,62.0
میگو,23.0,میگو,39.0,62.0
بفرمایید,24.0,بفرمایید,38.0,62.0
شده!,17.0,شده!,45.0,62.0
آدامس,12.0,آدامس,50.0,62.0
کردند.,27.0,کردند.,35.0,62.0
کسری,12.0,کسری,50.0,62.0
آنلاین,19.0,آنلاین,43.0,62.0
اسپرایت,31.0,اسپرایت,31.0,62.0
ممنون،,60.0,ممنون،,2.0,62.0
نتونستیم,7.0,نتونستیم,55.0,62.0
دلمه‌ای,18.0,دلمه‌ای,44.0,62.0
زیرش,25.0,زیرش,37.0,62.0
نمیدم.,6.0,نمیدم.,56.0,62.0
همگی,50.0,همگی,12.0,62.0
دستمان,33.0,دستمان,29.0,62.0
نارنج,31.0,نارنج,30.0,61.0
تندی,36.0,تندی,25.0,61.0
نیس,16.0,نیس,45.0,61.0
ندارین,19.0,ندارین,42.0,61.0
زودفود,44.0,زودفود,17.0,61.0
مرغها,25.0,مرغها,36.0,61.0
قبولی,37.0,قبولی,24.0,61.0
تاثیر,27.0,تاثیر,34.0,61.0
نارضایتی,11.0,نارضایتی,50.0,61.0
مصرفی,20.0,مصرفی,41.0,61.0
دادن.,24.0,دادن.,37.0,61.0
آشپز,24.0,آشپز,37.0,61.0
هرچند,31.0,هرچند,30.0,61.0
صرف,26.0,صرف,35.0,61.0
نکنید.,19.0,نکنید.,42.0,61.0
نگذاشته,23.0,نگذاشته,38.0,61.0
ساله,27.0,ساله,34.0,61.0
چیش,45.0,چیش,15.0,60.0
هزینه‌ی,35.0,هزینه‌ی,25.0,60.0
تزیین,28.0,تزیین,32.0,60.0
تلفن,20.0,تلفن,40.0,60.0
دریغ,5.0,دریغ,55.0,60.0
کاهوی,9.0,کاهوی,51.0,60.0
سیبزمینی,35.0,سیبزمینی,25.0,60.0
١,13.0,١,47.0,60.0
فرستادن،,8.0,فرستادن،,52.0,60.0
سعی,23.0,سعی,37.0,60.0
خدایی,34.0,خدایی,26.0,60.0
آنقدر,16.0,آنقدر,44.0,60.0
تایید,24.0,تایید,36.0,60.0
آجیل,27.0,آجیل,33.0,60.0
متنوع,50.0,متنوع,10.0,60.0
تذکر,17.0,تذکر,43.0,60.0
ویتامینه,22.0,ویتامینه,38.0,60.0
رستورانها,26.0,رستورانها,34.0,60.0
دلمه,22.0,دلمه,38.0,60.0
شک,35.0,شک,25.0,60.0
وا,17.0,وا,43.0,60.0
چندبار,19.0,چندبار,40.0,59.0
هام,17.0,هام,42.0,59.0
سرده,10.0,سرده,49.0,59.0
خیلییییی,25.0,خیلییییی,34.0,59.0
بشه،,41.0,بشه،,18.0,59.0
بخوره,17.0,بخوره,42.0,59.0
نهایتا,14.0,نهایتا,45.0,59.0
قائل,18.0,قائل,41.0,59.0
زمینی‌های,23.0,زمینی‌های,36.0,59.0
رفتن,21.0,رفتن,38.0,59.0
بگیره,19.0,بگیره,40.0,59.0
بد،,2.0,بد،,57.0,59.0
میرفت,17.0,میرفت,42.0,59.0
مشکی,21.0,مشکی,38.0,59.0
ندادن,11.0,ندادن,48.0,59.0
رول,27.0,رول,32.0,59.0
فالوده,19.0,فالوده,40.0,59.0
هماهنگ,21.0,هماهنگ,38.0,59.0
اکثرا,37.0,اکثرا,22.0,59.0
میدین,19.0,میدین,40.0,59.0
بدم.,15.0,بدم.,43.0,58.0
توجیه,22.0,توجیه,36.0,58.0
خلال,27.0,خلال,31.0,58.0
سایزش,31.0,سایزش,27.0,58.0
باشند,33.0,باشند,25.0,58.0
شیرینیها,26.0,شیرینیها,32.0,58.0
جبران,18.0,جبران,40.0,58.0
شله,20.0,شله,38.0,58.0
تناسب,21.0,تناسب,37.0,58.0
مزه‌ترین,5.0,مزه‌ترین,53.0,58.0
هدیه,41.0,هدیه,17.0,58.0
بجز,30.0,بجز,28.0,58.0
بدیم,17.0,بدیم,41.0,58.0
تصور,17.0,تصور,41.0,58.0
ربطی,6.0,ربطی,52.0,58.0
افزوده,32.0,افزوده,26.0,58.0
دقتی,22.0,دقتی,36.0,58.0
نرمال,20.0,نرمال,38.0,58.0
نمی‌شد,13.0,نمی‌شد,45.0,58.0
تابه‌ای,16.0,تابه‌ای,42.0,58.0
میباشد,24.0,میباشد,34.0,58.0
معرکه,54.0,معرکه,4.0,58.0
مى,17.0,مى,40.0,57.0
دکتر,36.0,دکتر,21.0,57.0
تومانی,7.0,تومانی,50.0,57.0
پولشو,5.0,پولشو,52.0,57.0
نداد,22.0,نداد,35.0,57.0
فریزر,12.0,فریزر,45.0,57.0
انقضای,26.0,انقضای,31.0,57.0
کارشون,38.0,کارشون,19.0,57.0
ایده,50.0,ایده,7.0,57.0
کنند.,29.0,کنند.,28.0,57.0
سانتی,15.0,سانتی,42.0,57.0
رقیق,19.0,رقیق,38.0,57.0
طلایی,13.0,طلایی,44.0,57.0
ى,22.0,ى,35.0,57.0
مخلفاتش,35.0,مخلفاتش,22.0,57.0
کوچیکه,25.0,کوچیکه,32.0,57.0
کوپن,23.0,کوپن,34.0,57.0
تافتون,28.0,تافتون,29.0,57.0
انبه,29.0,انبه,28.0,57.0
نبودند,10.0,نبودند,47.0,57.0
کن,22.0,کن,35.0,57.0
سنگ,8.0,سنگ,48.0,56.0
کنی,14.0,کنی,42.0,56.0
میکشه,23.0,میکشه,33.0,56.0
بیسکویت,19.0,بیسکویت,37.0,56.0
تره,28.0,تره,28.0,56.0
پیکی,27.0,پیکی,29.0,56.0
کته,20.0,کته,36.0,56.0
آمد,26.0,آمد,30.0,56.0
پستو,27.0,پستو,29.0,56.0
تشکر.,49.0,تشکر.,7.0,56.0
عددی,18.0,عددی,38.0,56.0
معنی,16.0,معنی,40.0,56.0
گاهی,42.0,گاهی,14.0,56.0
اطراف,26.0,اطراف,30.0,56.0
مربوط,19.0,مربوط,37.0,56.0
چانو,28.0,چانو,28.0,56.0
زنده,27.0,زنده,29.0,56.0
بالا.,22.0,بالا.,33.0,55.0
گوجه‌ها,25.0,گوجه‌ها,30.0,55.0
تولد,15.0,تولد,40.0,55.0
نیاورد,18.0,نیاورد,37.0,55.0
دستکش,36.0,دستکش,19.0,55.0
قسمتی,14.0,قسمتی,41.0,55.0
بودنش,29.0,بودنش,26.0,55.0
میوه‌های,25.0,میوه‌های,30.0,55.0
دارین,26.0,دارین,29.0,55.0
برگشت,12.0,برگشت,43.0,55.0
هوای,32.0,هوای,23.0,55.0
ایشون,21.0,ایشون,34.0,55.0
نمی‌ارزه,11.0,نمی‌ارزه,44.0,55.0
دیشب,12.0,دیشب,43.0,55.0
زندگیم,9.0,زندگیم,46.0,55.0
هستم،,29.0,هستم،,26.0,55.0
طعم،,40.0,طعم،,15.0,55.0
کلام,19.0,کلام,36.0,55.0
آبدار,33.0,آبدار,22.0,55.0
بزارن,25.0,بزارن,30.0,55.0
چاقو,24.0,چاقو,31.0,55.0
مرغوب,32.0,مرغوب,23.0,55.0
بوده،,19.0,بوده،,36.0,55.0
راضى,22.0,راضى,33.0,55.0
نشاط,13.0,نشاط,42.0,55.0
بررسی,18.0,بررسی,37.0,55.0
داشت!,18.0,داشت!,37.0,55.0
مشتری‌های,21.0,مشتری‌های,34.0,55.0
رسوند,41.0,رسوند,13.0,54.0
عجله,22.0,عجله,32.0,54.0
نبودیم,6.0,نبودیم,48.0,54.0
اثری,12.0,اثری,42.0,54.0
کنم،,19.0,کنم،,35.0,54.0
چجوری,11.0,چجوری,43.0,54.0
بندى,24.0,بندى,30.0,54.0
٣,10.0,٣,44.0,54.0
بود!!!!,7.0,بود!!!!,47.0,54.0
گاردن,24.0,گاردن,30.0,54.0
تبدیل,15.0,تبدیل,39.0,54.0
خوبه،,42.0,خوبه،,12.0,54.0
باربیکیو,23.0,باربیکیو,31.0,54.0
منم,17.0,منم,37.0,54.0
پیتزا،,18.0,پیتزا،,36.0,54.0
نتیجه,12.0,نتیجه,42.0,54.0
اینقد,12.0,اینقد,42.0,54.0
نیست!,15.0,نیست!,39.0,54.0
وحشتناک,8.0,وحشتناک,46.0,54.0
برنامه,27.0,برنامه,27.0,54.0
ندیدم,18.0,ندیدم,36.0,54.0
۷۰,15.0,۷۰,39.0,54.0
تایی,18.0,تایی,36.0,54.0
نمیتونم,21.0,نمیتونم,33.0,54.0
کاشکی,36.0,کاشکی,18.0,54.0
دیپ,23.0,دیپ,31.0,54.0
پیک،,19.0,پیک،,34.0,53.0
ایشان,21.0,ایشان,32.0,53.0
۱ساعت,8.0,۱ساعت,45.0,53.0
میوه‌ای,18.0,میوه‌ای,35.0,53.0
قارچش,32.0,قارچش,21.0,53.0
پارتی,33.0,پارتی,20.0,53.0
خوشمزس,48.0,خوشمزس,5.0,53.0
جلب,30.0,جلب,23.0,53.0
کاکائویی,19.0,کاکائویی,34.0,53.0
خریده,20.0,خریده,33.0,53.0
۱۱,14.0,۱۱,39.0,53.0
کاله,16.0,کاله,37.0,53.0
فشار,18.0,فشار,35.0,53.0
گرفتم،,20.0,گرفتم،,33.0,53.0
نوشتن,12.0,نوشتن,41.0,53.0
بینهایت,24.0,بینهایت,29.0,53.0
نرسیده,16.0,نرسیده,37.0,53.0
متریال,19.0,متریال,34.0,53.0
دنبال,25.0,دنبال,28.0,53.0
چیده,23.0,چیده,30.0,53.0
٤,13.0,٤,40.0,53.0
غضروف,12.0,غضروف,41.0,53.0
سیرش,33.0,سیرش,20.0,53.0
٥,21.0,٥,32.0,53.0
اپلیکیشن,17.0,اپلیکیشن,36.0,53.0
ریحان,27.0,ریحان,26.0,53.0
خوردم،,14.0,خوردم،,39.0,53.0
میکنه.,28.0,میکنه.,25.0,53.0
کنن.,26.0,کنن.,27.0,53.0
راننده,26.0,راننده,27.0,53.0
رفتم,20.0,رفتم,33.0,53.0
افتضاح‌ترین,1.0,افتضاح‌ترین,52.0,53.0
ناهار,22.0,ناهار,31.0,53.0
مشخصه,18.0,مشخصه,35.0,53.0
کرنبری,14.0,کرنبری,39.0,53.0
پکیج,31.0,پکیج,21.0,52.0
نامی,27.0,نامی,25.0,52.0
مثه,37.0,مثه,15.0,52.0
رون,9.0,رون,43.0,52.0
پشیمونم,1.0,پشیمونم,51.0,52.0
نبود..,14.0,نبود..,38.0,52.0
دلم,24.0,دلم,28.0,52.0
برگرش,26.0,برگرش,26.0,52.0
قهوه‌ای,17.0,قهوه‌ای,35.0,52.0
سریعتر,41.0,سریعتر,11.0,52.0
نخوردم,16.0,نخوردم,36.0,52.0
بالاست.,33.0,بالاست.,19.0,52.0
سفارشها,29.0,سفارشها,23.0,52.0
خیابون,22.0,خیابون,30.0,52.0
درون,16.0,درون,36.0,52.0
دیرتر,21.0,دیرتر,31.0,52.0
ریش,14.0,ریش,38.0,52.0
مطمئنا,12.0,مطمئنا,40.0,52.0
شیرینى,10.0,شیرینى,42.0,52.0
عالی‌تر,49.0,عالی‌تر,3.0,52.0
۳۰۰,14.0,۳۰۰,38.0,52.0
نارگیل,26.0,نارگیل,26.0,52.0
تبریک,43.0,تبریک,9.0,52.0
کریسپی,30.0,کریسپی,22.0,52.0
اسنک,28.0,اسنک,24.0,52.0
اعتبار,11.0,اعتبار,41.0,52.0
برده,15.0,برده,37.0,52.0
متاسفانه.,10.0,متاسفانه.,41.0,51.0
نزاشته,20.0,نزاشته,31.0,51.0
کافه,30.0,کافه,21.0,51.0
زعفران,21.0,زعفران,30.0,51.0
بذارین,28.0,بذارین,23.0,51.0
کند,20.0,کند,31.0,51.0
ساختمان,15.0,ساختمان,36.0,51.0
کرده،,5.0,کرده،,46.0,51.0
نزدیکی,22.0,نزدیکی,29.0,51.0
والا,12.0,والا,39.0,51.0
انتخابی,22.0,انتخابی,29.0,51.0
سویا,13.0,سویا,38.0,51.0
سلامت,38.0,سلامت,13.0,51.0
خوردنش,19.0,خوردنش,32.0,51.0
بعیده,6.0,بعیده,45.0,51.0
طالبی,19.0,طالبی,32.0,51.0
ساندویچش,31.0,ساندویچش,20.0,51.0
شماره,10.0,شماره,41.0,51.0
گذاشتین,18.0,گذاشتین,33.0,51.0
میکنند,14.0,میکنند,37.0,51.0
جان,35.0,جان,16.0,51.0
سپاسگزارم.,48.0,سپاسگزارم.,3.0,51.0
درستی,17.0,درستی,34.0,51.0
موعد,42.0,موعد,9.0,51.0
زهم,11.0,زهم,40.0,51.0
کالای,22.0,کالای,29.0,51.0
سوراخ,17.0,سوراخ,34.0,51.0
رفت.,6.0,رفت.,45.0,51.0
طی,18.0,طی,32.0,50.0
هستین,38.0,هستین,12.0,50.0
حرارت,24.0,حرارت,26.0,50.0
هستند.,36.0,هستند.,14.0,50.0
مارگاریتا,15.0,مارگاریتا,35.0,50.0
کیفیتشون,23.0,کیفیتشون,27.0,50.0
مث,32.0,مث,18.0,50.0
انقضاش,6.0,انقضاش,44.0,50.0
اسنپ‌فود,15.0,اسنپ‌فود,35.0,50.0
حیفه,19.0,حیفه,31.0,50.0
ریخت,14.0,ریخت,36.0,50.0
ارسالش,36.0,ارسالش,14.0,50.0
اتفاقی,16.0,اتفاقی,34.0,50.0
سوخاری‌ها,24.0,سوخاری‌ها,26.0,50.0
اشتباها,22.0,اشتباها,28.0,50.0
گرسنه,13.0,گرسنه,37.0,50.0
اقا,25.0,اقا,25.0,50.0
رنگش,18.0,رنگش,32.0,50.0
دائمی,21.0,دائمی,29.0,50.0
نداره،,19.0,نداره،,31.0,50.0
سالادش,23.0,سالادش,27.0,50.0
پرملات,45.0,پرملات,5.0,50.0
قند,18.0,قند,31.0,49.0
منصفانه,27.0,منصفانه,22.0,49.0
قدر,26.0,قدر,23.0,49.0
نمیشه.,20.0,نمیشه.,29.0,49.0
هلو,26.0,هلو,23.0,49.0
گوشتی,7.0,گوشتی,42.0,49.0
بالاخره,24.0,بالاخره,25.0,49.0
نکات,36.0,نکات,13.0,49.0
داشتم،,23.0,داشتم،,26.0,49.0
برگراتور,13.0,برگراتور,36.0,49.0
شیرینیش,26.0,شیرینیش,23.0,49.0
گاتا,22.0,گاتا,27.0,49.0
نداشتند,21.0,نداشتند,28.0,49.0
فانتا,26.0,فانتا,23.0,49.0
ماندگی,4.0,ماندگی,45.0,49.0
تحویلی,13.0,تحویلی,36.0,49.0
وسایل,19.0,وسایل,30.0,49.0
زعفرانی,13.0,زعفرانی,36.0,49.0
دارای,16.0,دارای,33.0,49.0
نمیگیرم,8.0,نمیگیرم,41.0,49.0
وافل,26.0,وافل,23.0,49.0
ندید,10.0,ندید,39.0,49.0
پرداختی,13.0,پرداختی,36.0,49.0
سمت,16.0,سمت,33.0,49.0
تأخیر,16.0,تأخیر,33.0,49.0
همشون,24.0,همشون,24.0,48.0
دنیا,27.0,دنیا,21.0,48.0
مناسب،,43.0,مناسب،,5.0,48.0
آورد.,32.0,آورد.,16.0,48.0
وارد,21.0,وارد,27.0,48.0
وقته,15.0,وقته,33.0,48.0
نمیکنن,15.0,نمیکنن,33.0,48.0
گذاشتم,13.0,گذاشتم,35.0,48.0
میزنن,18.0,میزنن,30.0,48.0
موتوری,21.0,موتوری,27.0,48.0
س,34.0,س,14.0,48.0
مواردی,21.0,مواردی,27.0,48.0
داگش,27.0,داگش,21.0,48.0
جرات,24.0,جرات,24.0,48.0
نامناسبی,6.0,نامناسبی,42.0,48.0
نامرغوب,3.0,نامرغوب,45.0,48.0
شو,24.0,شو,24.0,48.0
کمترین,29.0,کمترین,19.0,48.0
میدادن,14.0,میدادن,34.0,48.0
هفت,21.0,هفت,27.0,48.0
نارگیلی,20.0,نارگیلی,28.0,48.0
چلوکباب,23.0,چلوکباب,25.0,48.0
فویل,20.0,فویل,28.0,48.0
کلفت,15.0,کلفت,33.0,48.0
کوکتل,15.0,کوکتل,32.0,47.0
ظهر,16.0,ظهر,31.0,47.0
گردن,13.0,گردن,34.0,47.0
معمولی.,14.0,معمولی.,33.0,47.0
کاکائو,12.0,کاکائو,35.0,47.0
خامی,14.0,خامی,33.0,47.0
هاى,13.0,هاى,34.0,47.0
خارجی,14.0,خارجی,33.0,47.0
مزه،,11.0,مزه،,36.0,47.0
وخوشمزه,45.0,وخوشمزه,2.0,47.0
گرد,21.0,گرد,26.0,47.0
آبلیمو,18.0,آبلیمو,29.0,47.0
میدید,8.0,میدید,39.0,47.0
زود‌تر,41.0,زود‌تر,6.0,47.0
رستوران،,20.0,رستوران،,27.0,47.0
علاقه,26.0,علاقه,21.0,47.0
لحظه,17.0,لحظه,30.0,47.0
سریع‌تر,37.0,سریع‌تر,10.0,47.0
نسکافه,20.0,نسکافه,27.0,47.0
کرایه,28.0,کرایه,19.0,47.0
آمریکایی,27.0,آمریکایی,20.0,47.0
مرسی.,43.0,مرسی.,4.0,47.0
صحیح,25.0,صحیح,22.0,47.0
ن,12.0,ن,35.0,47.0
کراکف,19.0,کراکف,28.0,47.0
باشم,17.0,باشم,30.0,47.0
برگشته,9.0,برگشته,38.0,47.0
روزهای,15.0,روزهای,31.0,46.0
تقصیر,16.0,تقصیر,30.0,46.0
۲۰۰۰,14.0,۲۰۰۰,32.0,46.0
وعده,27.0,وعده,19.0,46.0
نگم,15.0,نگم,31.0,46.0
الفردو,14.0,الفردو,32.0,46.0
دامداران,11.0,دامداران,35.0,46.0
فشرده,15.0,فشرده,31.0,46.0
بخشی,12.0,بخشی,34.0,46.0
بطور,19.0,بطور,27.0,46.0
بگیرن,17.0,بگیرن,29.0,46.0
ورق,7.0,ورق,39.0,46.0
شعبه‌های,16.0,شعبه‌های,30.0,46.0
اوردن.,20.0,اوردن.,26.0,46.0
عالی..,43.0,عالی..,3.0,46.0
بردن,18.0,بردن,28.0,46.0
آقای,35.0,آقای,11.0,46.0
پیک‌ها,19.0,پیک‌ها,27.0,46.0
اطمینان,22.0,اطمینان,24.0,46.0
لپه,5.0,لپه,41.0,46.0
ماشین,12.0,ماشین,34.0,46.0
طعم.,24.0,طعم.,22.0,46.0
نوشابه‌ها,15.0,نوشابه‌ها,31.0,46.0
کارامل,19.0,کارامل,27.0,46.0
بدید.,22.0,بدید.,24.0,46.0
بودید.,27.0,بودید.,19.0,46.0
دیگی,14.0,دیگی,32.0,46.0
نونی,18.0,نونی,28.0,46.0
واسم,20.0,واسم,26.0,46.0
پیتزا.,17.0,پیتزا.,29.0,46.0
بعنوان,15.0,بعنوان,31.0,46.0
چنجه,17.0,چنجه,29.0,46.0
می‌باشد,18.0,می‌باشد,28.0,46.0
ضعف,22.0,ضعف,24.0,46.0
کارتن,18.0,کارتن,28.0,46.0
م,25.0,م,21.0,46.0
ایکاش,30.0,ایکاش,15.0,45.0
قبلش,19.0,قبلش,26.0,45.0
اینم,21.0,اینم,24.0,45.0
قضیه,11.0,قضیه,34.0,45.0
بریزم,2.0,بریزم,43.0,45.0
شکلی,12.0,شکلی,33.0,45.0
کنسرو,12.0,کنسرو,33.0,45.0
شش,16.0,شش,29.0,45.0
مهمه,25.0,مهمه,20.0,45.0
آنها,13.0,آنها,32.0,45.0
پیام,17.0,پیام,28.0,45.0
