words,labele
معین,5
٣٠٠٠,5
میذاشتین,5
راحته,5
دهان,5
می‌کرد.,5
ولنجک,5
میرداماد,5
٥٠,5
گرونه.,5
۲۱,5
بیمارستان,5
غذاشم,5
خدماتش,5
تفت,5
شاکی,5
تفاوتی,5
کوئین,5
۲۳,5
حلوا,5
طریقت,5
خرابی,5
مجهز,5
دارید،,5
پارمزان,5
دهنم,5
می‌کشه,5
تشکرمیکنم,5
خدمتتون,5
۲نفر,5
پارسه,5
دیگه‌ی,5
besiar,5
ارزششو,5
بگیریم,5
۲۲,5
همیشگیه,5
استریپس‌ها,5
شباهت,5
غذاخوب,5
دهنده‌ی,5
بور,5
شاءالله,5
رستورانهایی,5
میفرستادن,5
خفن,5
آمدن,5
اصراف,5
نمرتون,5
تاره,5
پرپروک.,5
حساس,5
مغزش,5
اصالت,5
تولدم,5
شدنش,5
شدند.,5
هراز,5
ازپیک,5
نمره‌ی,5
توضیحی,5
پروسس,5
احمدی,5
بود،،،,5
گزینه‌ی,5
احیانا,5
بود؟!,5
لندو,5
دود,5
توصیف,5
همچیش,5
مامان,5
خیلی‌,5
k,5
اخذ,5
سیرم,5
آن،,5
میکردی,5
Mesle,5
روبه,5
روبروی,5
ولوت,5
عمانی,5
صرفه‌تر,5
همونایی,5
همونجور,5
chi,5
ملس,5
دستشویی,5
توپی,5
متفاوت.,5
نقصی,5
لبه‌های,5
اجیل,5
خبلی,5
لبو,5
بهشت,5
تازست,5
شنبه,5
طعم‌ها,5
اصلا.,5
پرگوشت,5
من:,5
ترکیش,5
ومزه,5
کنه،,5
شدن.,5
دوبل,5
نیمساعت,5
منطقه،,5
هدایت,5
عموما,5
for,5
وسس,5
میدهید,5
هاشم,5
غرق,5
پخت‌تر,5
بودکه,5
ممنووون,5
ادب.,5
نمیخواستم,5
و‌گرم,5
بودید،,5
کننده‌ای,5
۳۰دقیقه,5
لقمه‌ای,5
غر,5
د,5
۱/۵,5
پخت.,5
مجلسی,5
دائمتون,5
تااازه,5
غله,5
ارسالو,5
مطمئنم,5
نون،,5
توجیهی,5
بودد,5
غیره,5
توجیح,5
بودفقط,5
مؤدبانه,5
رسیدو,5
ملت,5
اشنا,5
نمیگیرن,5
عالیس,5
همکار,5
بودممنون,5
تز,5
رسیدم,5
می‌گرفت,5
آخرم,5
خشمزه,5
نمیاره,5
کنم:,5
آلی,5
حضور,5
کنم؟,5
لذتی,5
همکارانم,5
Thank,5
هدف,5
جی,5
taze,5
انتظارش,5
سریعم,5
نزنه,5
باریکلا,5
بخوای,5
کاربری,5
(بیشتر,5
امریکن,5
باروس,5
اندفعه,5
قیمتاشون,5
مزه‌ترین,5
نامطلوبی,5
نداشتین,5
چندباری,5
برخوردش,5
چاق,5
اناری,5
فندقی,5
سومر,5
زوکت,5
سرى,5
فکتوری,5
نامطبوعی,5
(حدود,5
اژانس,5
میامد,5
نحوی,5
نایب,5
کباب.,5
نزدیکیم,5
باسلیقه,5
قاچ,5
سوپربرگر,5
قسمتها,5
سلیقه،,5
نباشد.,5
برج,5
سالم،,5
سالمی,5
نبود!!!,5
کامل‌تر,5
کرده،,5
سلام؛,5
باتری,5
برندهای,5
قبوله.,5
مسأله,5
(نه,5
نسب,5
قبوله,5
…همیشه,5
زودی,5
مشتریه,5
انتخابش,5
سلطانی,5
سان,5
بادامی,5
ساب,5
ایام,5
ندن,5
بخونید,5
کارها,5
بارانی,5
قسمتش,5
چنتا,5
…موفق,5
باش,5
برف,5
انگلیسی,5
قطر,5
ببرم,5
پیکه,5
سبزیجات.,5
…عالی,5
بالاتون,5
زیاده،,5
…طعم,5
سبزیجات،,5
بای,5
سراغ,5
فیله‌اش,5
زیادى,5
قطاب,5
باکیفیته,5
مسیرهای,5
نانوایی‌ها,5
…در,5
اوردید,5
چیدن,5
قطرش,5
ندارد،,5
مرینت,5
سبک،,5
نامرتب,5
امیدواریم,5
فلفلش,5
امیدوار,5
اولی,5
ندارم،,5
ندارن،,5
قصر,5
ببرند,5
بخارپز,5
سومه,5
سمنو,5
نداشتن،,5
نداشتن.,5
مشتریش,5
فکرکنم,5
ساک,5
کبابتون,5
فلافل,5
ژامبون‌ها,5
اهل,5
قلمی,5
مهم‌ترین,5
اوکیه,5
چوبه,5
زیادش,5
نخوره,5
میارزه,5
نخور,5
سوخاری،,5
نداشت:,5
اونهم,5
قارچی,5
ببریم,5
مره,5
باقلواها,5
فلزی,5
میارزید,5
چیپسش,5
موقه,5
مرسی!,5
مهمونا,5
ندارن.,5
فعالیت,5
مکانی,5
ایم,5
ایه.,5
…امیدوارم,5
بدید،,5
ایشالله,5
زمینیهای,5
براساس,5
فودی‌های,5
برانگیز,5
مرجوع,5
بدونه,5
اینجانب,5
نسوخته,5
مرتبی,5
کال,5
نرخ,5
بذارید.,5
میبایست,5
بذارن.,5
انداختن,5
بده،,5
بدهد,5
قیمتشو,5
مهر,5
مساوی,5
کالری,5
قول,5
سالاداتون,5
کردی,5
بروچن,5
نرمتر,5
سوسیس‌ها,5
سالا,5
کشدار,5
مشتریها,5
برات,5
انجیر,5
نذاشتن,5
کشور,5
انداره,5
سالادشم,5
بربری‌ها,5
نوبت,4
کیفتتون,4
رسد,4
اسپشیال,4
غذل,4
دوباری,4
بودین،,4
تسریع,4
بذاریم,4
ساعدی,4
شعله,4
سبز،,4
garm,4
اسپایسیش,4
اسپرسو,4
میدهیم,4
مرکز,4
ارسال:,4
ببندید,4
پختن,4
میشدم,4
۱۰۰٪,4
دهیتون,4
مرور,4
کرده‌ها,4
میزون,4
عزیز.,4
پایین‌تری,4
ترد.,4
بجاى,4
ترجیحا,4
لذیذه,4
پایینه.,4
شاتوتی,4
a,4
سالاد.,4
تریاکی,4
شریفی,4
ازای,4
وپرسنل,4
دوستش,4
کنید..,4
سوخاریشون,4
تخمین,4
چهارفصل,4
ترد،,4
تردتر,4
غذایش,4
میدونید,4
رستورانو,4
لیبل,4
محترمانه‌ای,4
ومودب,4
ببینیم,4
رسوند،,4
ترو,4
دوربین,4
تره،,4
چوبی,4
ترنج,4
اروستو,4
سایرین,4
ترغیب,4
ترش‌تر,4
ونون,4
ونک,4
ساعتو,4
سبزی،,4
مخصوصشم,4
محترم،,4
کیفیت‌تری,4
…راضی,4
اوضاع,4
نمیارن,4
چیزبرگرش,4
نوشتین,4
دلستر‌ها,4
نداره!,4
بودن:,4
تمومه,4
فینگر,4
تمایل,4
برازنده,4
می‌رسد,4
ارادتمند,4
مریض,4
می‌رسه.,4
رسید؛,4
ارتقا,4
میشه؟,4
کیفیت‌ها,4
وشیرینی,4
دقیقه!,4
دقه,4
۱/۳,4
رسیدممنون,4
تنوعش,4
اشتهای,4
نوعی,4
وسوسه,4
وسپاس,4
می‌دیم,4
نوشیدنیها,4
بودن!!!,4
لذا,4
وسیله‌ای,4
ستاره.,4
دقیق‌تر,4
معرکه،,4
نوشیدنی‌های,4
مجموع،,4
ممونم,4
تلاونگ,4
ساعت،,4
غضروفی,4
میدهد.,4
لیستتون,4
اوردم,4
نمیتونن,4
دنت,4
محبوب,4
ارزنده,4
دنده,4
دنر,4
مهمان‌ها,4
بایستی,4
نرسه,4
عزیزی,4
مرگز,4
مسیری,4
ببر,4
تصحیح,4
تصادفی,4
غلظت,4
براتون.,4
تقویت,4
تفاوتش,4
عالیییییییییییی,4
غلیظ‌تر,4
نوشابه‌اش,4
تقدیم,4
میشناسم,4
دلیلی,4
پرتقالش,4
اسیب,4
باکیفیت‌تر,4
ارزشی,4
باکیفیت‌ترین,4
تغییرات,4
وقت.,4
نداریم،,4
چی؟,4
مواجه,4
بوده!,4
دمی,4
دوستی,4
لود,4
انگیزه,4
نمی‌کنید,4
کردنی,4
چلوگوشت,4
ندم.,4
٢-,4
بینظیری,4
۲عدد,4
نمیکنم.,4
بینظیر.,4
as,4
بگذارن,4
است؛,4
شاهکار,4
است؟,4
پاستاها,4
اندازشم,4
پاستاش,4
٢٥,4
منتقل,4
٢٥٠٠,4
ساندوچ,4
چن,4
چنان,4
شاه,4
کردید،,4
دیس,4
شانسی,4
مناطق,4
ندرت,4
و‌کیفیت,4
لقمه‌ها,4
نذارید،,4
بدهد.,4
…برخورد,4
منت,4
اس.,4
بخوره.,4
اساس,4
بی‌کیفیت,4
اساسی,4
بخوره،,4
بی‌مزه,4
مطلوب.,4
نمیکرد,4
لطیفی,4
بگیرن.,4
بدر,4
پارمیسان,4
بگی,4
غذاست,4
راس,4
سالم‌تر,4
نمیزاره,4
بیاورد,4
غذات,4
انشاءالله,4
می‌کردیم,4
پارادایس,4
قوام,4
b,4
لطفتان,4
راضی‌ام,4
چسبید،,4
شبانه,4
پ-ن-ه,4
٬,4
چلوجوجه,4
نمیره,4
میرسن,4
بده!,4
نمیومد.,4
لطفأ,4
٤٠,4
استیکش,4
غداتون,4
مهمونم,4
میذاره,4
بیرونی,4
نمیصرفه,4
بگویم,4
٧,4
…با,4
نمیشی,4
نمیشود.,4
بیس,4
نمیشود,4
دیزیش,4
تاخیر،,4
تاخیرش,4
نمی‌شود,4
معتاد,4
بختیاری,4
چنگالی,4
۱۵دقیقه,4
انگشت,4
چنگالم,4
لوبیای,4
فودو,4
کوچیکه.,4
چنگی,4
رساند.,4
دونرها,4
محدودیت,4
dastam,4
نمی‌زد.,4
انداخت,4
۳-۴,4
ساندویچهای,4
شرط,4
فکرشم,4
انداختم,4
دوغی,4
چهارراه,4
سالاد،,4
میزانش,4
دوعدد,4
میدیدم,4
تخفیف.,4
موندن,4
بدیم،,4
سالاد‌های,4
پایانی,4
وکم,4
نمی‌کرد,4
معتبر,4
کردیم،,4
تحول,4
میزاشتید,4
دومم,4
نمیدن,4
چنگال،,4
مناسبش,4
مهمه،,4
ازهمه,4
و‌تازه,4
اسلایسی,4
شده!!,4
تازه..,4
کیلومتری,4
نمیدونم.,4
ساندویچا,4
کنین،,4
تاریخها,4
لوازم,4
ازون,4
بخور,4
۲۸,4
میذارم,4
(نان,4
۲۷,4
عملتون,4
ساندویچ!,4
شده),4
نداشتیم.,4
کنیم؟,4
تای,4
ازش.,4
نمی‌رسید,4
dare,4
بپزه.,4
ویروس,4
کوچیک،,4
شدیدی,4
(پنیر,4
غذاهارو,4
غذاهاتونو,4
شدگی,4
علامت,4
تامین,4
ازلحاظ,4
ویژگی,4
دید,4
تازگیش,4
تازگیا,4
نمی‌ارزید.,4
سایزشون,4
تهرانپارس,4
دادم!,4
(:,4
خشکم,4
نبود),4
میکنیم.,4
"نبود,",4
خرید‌های,4
خریدیم,4
باتاخیر,4
هتل,4
خریدهای,4
نبود:,4
مقصر,4
ماندگی,4
سطل,4
خرمالو,4
داد!,4
باتشکرواحترام,4
کاسبی,4
مقل,4
قرنطینه,4
سسها,4
همیشگیش,4
همیشگیشون,4
باادب,4
گشتم,4
صفر,4
گشنگی,4
هردوبار,4
خواب,4
نباشن,4
گفتم،,4
آبپز,4
هرحال,4
کافی،,4
ماهم,4
همه‌چیز,4
خمیر،,4
گشنه,4
همونو,4
همونجا,4
خلی,4
گیرد,4
گیرنده,4
خلاقیت,4
گشنم,4
همونه,4
خیلیییییییی,4
خیلییییییییی,4
سلام..,4
سسم,4
ماند,4
طعمش.,4
می‌ارزه.,4
هاتونو,4
آغشته,4
طبیعت,4
مزه‌ش,4
آفتابگردان,4
سزارتون,4
خاص‌تر,4
هنر,4
one,4
o,4
گرماش,4
آلا,4
مالی,4
کاهو‌های,4
اکی,4
میکشید,4
طرفی,4
دارچینش,4
کارتون.,4
کاپریچیوزا,4
سلیقه‌ی,4
سریعتون,4
نتونست,4
هات‌داگ,4
باران,4
ملاته,4
داده،,4
باد.,4
ضروری,4
خدایش,4
آرستو,4
آروم,4
نبودند،,4
بادمجان‌ها,4
آزار,4
بادمجونا,4
همینه.,4
شکیل‌تر,4
خامه،,4
یادش,4
perfect,4
یادمه,4
موردش,4
کارمند,4
می‌اومد,4
آشپزتون,4
آشپزخانه,4
کارشونو,4
طبقات,4
خیرشون,4
کافیه،,4
سفارشتون,4
خیر.,4
میگیرند,4
vaghean,4
هس,4
…یک,4
هزینه‌ای,4
سفتی,4
گوجه‌اش,4
very,4
vip,4
مبارک.,4
هزینشو,4
خوراک‌ها,4
خوشگلی,4
میگفتن,4
شیک.,4
سقارش,4
اینش,4
خودی,4
میگفت,4
مفصل,4
هزارتومان,4
خون,4
گوشه‌های,4
خوشمزگیش,4
گوشتو,4
خورده.,4
شیشه,4
خوشمزتون.,4
اینترنت,4
گوشت.,4
خوشمزس،,4
خوشطعم,4
خوشمزش,4
هستم..,4
خوشرو,4
that,4
مایکرو,4
"""با",4
سفرش,4
گوشتشم,4
اینجاست,4
خورشتی,4
هستین.,4
هست؛,4
خورشتش,4
هستین،,4
گوشته,4
خوردگی,4
موثر,4
خونده,4
خودمان,4
هرگز,4
هرسه,4
خوبه..,4
هرچقدر,4
شیرینی.,4
همراش,4
صبحانه‌ها,4
گومز,4
صبحانه‌ی,4
گلخانه‌ای,4
میگیریم.,4
خیارش,4
همسایه‌ها,4
همخوانی,4
گلاسه,4
شیرینه,4
شیرینتر,4
خواهشمندم,4
خواهشمند,4
گفتیم,4
آبش,4
شیرین.,4
صدا,4
خیالم,4
همخونی,4
ماهیش,4
هرکی,4
خوب‌بود,4
yek,4
هرکسی,4
همبر,4
گوشه‌ی,4
خودداری,4
شیک‌تر,4
میگیری,4
خودتان,4
your,4
گوشیم,4
نباشین.,4
میگرفتم.,4
میگرفتیم,4
خوبیه.,4
هرچیزی,4
همبرگری,4
خوبید,4
همبرگر‌ها,4
ماهیچه,4
میگرفتن,4
نبردم,4
خوووووب,4
باریه,4
حقوق,4
عالیشون,4
عال,4
دروس,4
سنگک‌ها,4
khobe,4
موادو,4
نکردیم,4
اونجوری,4
عااالیییی,4
چینشم,4
می‌داشت,4
مزخرف,4
تیر,4
در‌کل,4
نکردن.,4
می‌دم.,4
ممنونم..,4
نکردم،,4
اجناس.,4
تکراری,4
دسترس,4
یکنواخت,4
بالاش,4
سده,4
تو‌,4
اونطوری,4
ثابتش,4
khoob,4
درصورت,4
شود!,4
عاااااااااالی,4
مارلبرو,4
قارچهای,4
وبسته,4
مزس,4
جامعه,4
جامد,4
درصدش,4
عاااااالی،,4
باقلواهای,4
میلم,4
میندازه,4
درصورتیکه,4
…غذا,4
سرخ‌کرده,4
مزرعه,4
شه،,4
ثبات,4
khosh,4
چیه.,4
میلک,4
وخمیر,4
kam,4
دارین.,4
وخوشمزه.,4
inke,4
ورودی,4
میشید.,4
کیک.,4
نونهای,4
توز,4
عالی:),4
بانش,4
چیزى,4
نونشو,4
سهروردی,4
وزنی,4
می‌دونم,4
اخلاقی,4
۰,4
نونتون,4
سهل,4
عالیتون.,4
اولیه،,4
عالیست,4
مسیر،,4
نوناتون,4
دقت،,4
بامزه,4
ورقه‌ای,4
ورقه,4
عالى!,4
بالزامیک,4
توو,4
احترامتون,4
عاللللللی,4
تومنه,4
شناور,4
می‌ده,4
دستپخت,4
تومان),4
اشم,4
دستگاه,4
is,4
توقعی,4
شن,4
دستی,4
توضیحاتو,4
دسری,4
اختصاص,4
توضیحاتش,4
نون‌های,4
توضیحات.,4
کیکتون,4
ناچار,4
وبدون,4
عاااااااااااالی,4
درس,4
(حتی,4
نیست؟,4
سرویسی,4
کادویی,4
بازگشت,4
می‌تونن,4
بازیافت,4
سرویسش,4
حتمن,4
داع,4
داغ!,4
نیس،,4
گررررم,4
داغتر,4
حای,4
قایل,4
واریز,4
میکادو,4
واس,4
داغش,4
باسه,4
ماست،,4
یمقدار,4
…متشکرم,4
نیستش,4
my,4
قسمتهایی,4
دارین،,4
گرفتیم.,4
داست,4
کاربردی,4
گرفتید,4
کاربران,4
داشت!!!,4
مسما,4
طعمو,4
طعم‌,4
گرفتند.,4
یزدی‌ها,4
هیچگونه,4
می‌توانست,4
گرفتن،,4
طعم‌تر,4
نیستیم,4
آمدند,4
طعم‌دار,4
داشتم..,4
معمولیش,4
می‌توانند,4
حاضرم,4
حاصل,4
واصلا,4
نخواهد,4
نگیره,4
آپاچینو,4
دراین,4
اویشن,4
والبته,4
آیتم‌ها,4
جفت,4
نگهبان,4
man,4
جعبه‌ای,4
ظرفها,4
ظاهری,4
یونانی,4
آیفون,4
سرشون,4
سرش,4
گذاشتین.,4
إرسال,4
متنی,4
درخواست‌ها,4
میومد.,4
قارچ‌های,4
جنسها,4
دخترونه,4
نیاوردند,4
مزشم,4
متمایز,4
آوردن!,4
دان,4
ماسالا,4
دانشجو‌ها,4
شکارچیان,4
قانون,4
اپراتور:,4
اپراتور,4
دانی,4
آوردین,4
نخواستم,4
جوجه‌کباب,4
می‌خوام,4
طولانی‌تر,4
ژل,4
دایره,4
شوید,4
mesle,4
باشم.,4
موزی,4
دخترانه,4
شناختی,4
بگیریم.,4
بناگوش,4
سابقه,4
ساخت,4
بود).,4
کنجد.,4
میخونن,4
بنویسین,4
زدید,4
P-S,4
نظیرتون,4
لایه‌های,4
بزرگواری,4
بفرستیم,4
میاوردن,4
فاصلمون,4
مد,4
نازکتر,4
Ali,4
بنویسن,4
انارش,4
میتونس,4
کلاس,4
کمتر.,4
Awli,4
کم‌,4
روزای,4
پیانو,4
۵۵۰۰,4
پیتا,4
بهتر.,4
نمایید.,4
مدل‌های,4
نریزن,4
رقم,4
امکانات,4
نامطبوع,4
مشتریشونم,4
بهانه,4
العده,4
بود!!!!!,4
بفرستن.,4
بزنیم,4
رقبا,4
الهی,4
برسن,4
نظیرن,4
نمودن,4
بزارند,4
(کم,4
بود؟,4
مراقب,4
میخوردی,4
نادر,4
مخلوطش,4
پیتزام,4
بلاخره,4
اطلاعات,4
فروشگاه،,4
سوپی,4
میداشت,4
الکل,4
فروشگاههای,4
بریونی,4
بریون,4
پنیرها,4
کفیت,4
رفتارش,4
Hamishe,4
کمترش,4
بزرگ،,4
بود:))),4
فرانسویش,4
مراحل,4
سیبش,4
پروسه,4
زرشکش,4
روگنان,4
قیمتش.,4
نظیرید,4
مخلوطی,4
بزارین.,4
مشتریانی,4
…!!!,4
کریسپی،,4
اشکان,4
پیگیری‌های,4
بزارید،,4
بسبار,4
بو،,4
فروشگاه‌ها,4
العاده‌ترین,4
پولو,4
سپاسگزاریم,4
بهره,4
سوپتون,4
فهمید,4
سوپر،,4
پژمرده,4
میام,4
بهترینهاست,4
الا,4
بهشتی,4
سوپرایز,4
برخود,4
بسیاربسیار,4
کلمش,4
بسیار.,4
بشین,4
فرستادید،,4
پکیجینگ,4
نظر،,4
کنارشم,4
فرض,4
الباقی,4
الترا,4
لبنیاتی,4
بشم,4
۴۰دقیقه,4
پسرم,4
فرستادین.,4
فایده,4
پوک,4
فایر,4
الحق,4
نقص،,4
نارنجی,4
پسرانه,4
ریزی,4
نره,4
بهترین‌های,4
مرررسی,4
اصلیش,4
ناب,4
بسیاااااار,4
بصرفه,4
به‌موقع,4
منو.,4
بسته،,4
بستنی‌های,4
میدادید,4
سید,4
روز.,4
نظرهای,4
بعضى,4
مهمانان,4
پوره‌ی,4
اضافه‌تر,4
سپاس،,4
برسونید,4
رقیق‌تر,4
زودهم,4
فقط،,4
کلافه,4
فرنچ,4
سیدخندان,4
پیازها,4
زحم,4
سوپ،,4
پک‌ها,4
برشته.,4
مدیریتشون,4
رنده,4
نم,4
بسه,4
پی.,4
ریال,4
بستی,4
پوزش,4
لابد,4
رنج,4
پرینگلز,4
نظره,4
زحمتتون,4
رمضون,4
نصفشم,4
اناناس,4
پنیرم,4
بزنند,4
رولی,4
پیشنهادش,4
اف,4
کشیدند,4
رشد,4
میبینی,4
من‌,4
۳۷,4
بندیتون,4
میبینید,4
بلیس,4
بروزرسانی,4
بره.,4
کشیدین,4
بروبچه‌های,4
زو,4
میت,4
رضایتمندی,4
بودبه,4
کمیت،,4
رونق,4
کمرنگ,4
برگشت.,4
بودددد,4
قیمتهای,4
کمش,4
سوپرمارکتهای,4
نریزید.,4
پیزا,4
پیروک,4
پناه,4
Keyfiate,4
بمونیم.,4
مدلش,4
زمینی.,4
نزارن,4
بمونن,4
ان.,4
امانی,4
امیر,4
روغن.,4
برگره,4
زمخت,4
نفرستادین,4
سوپرهای,4
بلوبری,4
برش‌ها,4
ساده،,4
منقضی,4
زعفرونی,4
بندیشون,4
زغال,4
کمیتش,4
وبرای,3
شوخی,3
پوشک,3
عااااااااالی.,3
درسته.,3
hajme,3
جایزش,3
باقلا,3
ریحونش,3
سردتر,3
عااااااااالی,3
وبرشته,3
درستش,3
نزارین,3
ال,3
چیتی,3
نظرمون,3
مینو,3
متوسطش,3
معرکست,3
ابعادش,3
konid,3
جانانه,3
سردرگم,3
نان‌ها،,3
نفر.,3
مینویسه,3
گذاشتند,3
گذاشتن،,3
سرده.,3
جدیدتر,3
دردسر,3
فیله‌ی,3
باعرض,3
گذاشتمش,3
دردنکنه.,3
کباب‌های,3
درزمان,3
مینویسن,3
جاییه,3
جدا،,3
جدا.,3
سردشده,3
عااااااااااااااالی,3
ناچاری,3
وقارچ,3
یک،,3
سهم,3
اعم,3
…داغ,3
ابدا,3
چیپس‌ها,3
افتادم,3
گداشته,3
پنجم,3
تهدیگ,3
عااااالیه.,3
نکنه!,3
مارس,3
ابی,3
کبفیت,3
گاها,3
گانه,3
وتازه،,3
اوردین.,3
دلچسبه,3
میموند,3
تلاشتون,3
درمیون,3
یکسال,3
بعدشم,3
اونقدری,3
اقایی,3
عاااالى,3
لاغر,3
عاااالی!,3
hamechi,3
نخورید,3
شماااا,3
متین,3
یکروز,3
نگرانی,3
دلچسب‌تر,3
چیپسو,3
نخوردم.,3
منوال,3
میارید,3
نوشت,3
می‌دادم.,3
عالییییییییییی,3
Ghaza,3
اموزش,3
جالب‌تر,3
باقلواهاش,3
لاستیکی,3
نکنه..,3
ابنکه,3
وسالاد,3
مارسید,3
پوستش,3
جالبتر,3
تقویم,3
ناپلیونی,3
پنجشنبه,3
وبوی,3
ابگوشت,3
عالیترین,3
شهریور,3
مارون,3
میوفته,3
ژامبون.,3
می‌خواید,3
ارزن,3
دراومده,3
چگوارا,3
دراژه,3
بناب,3
پنبه,3
باهاشون,3
قاطیش,3
کیلوگرم,3
جنت,3
آپدیت,3
بشه:),3
میخوردیم,3
باشه),3
واقن,3
گران.,3
جمعا,3
مارکت‌ها,3
وقت‌ها,3
بلده,3
درباره‌ی,3
نخواسته,3
بشه؟,3
یوخ,3
کبابشون,3
چی!,3
البته.,3
سن,3
نیا,3
جوابی,3
کیفست,3
می‌خوان,3
مواردش,3
معذرت,3
(سس,3
تعجب،,3
فرستادین،,3
دقتشون,3
برشهای,3
جنسشون,3
موقعیت,3
تهرانی,3
کلوچه‌ها,3
زیباست,3
۶تا,3
جنگلی,3
mersi,3
باشند،,3
جنسهای,3
۱-۵,3
ارزون,3
عالی‌,3
مارکتها,3
ثانیا,3
جذابش,3
(خیلی,3
تغییراتی,3
پولتون,3
…فوق,3
mamnoon,3
گذاشتیم,3
جرأت,3
گذاشتید،,3
برشته،,3
کبابیش,3
اونکه,3
وایت,3
اونیکی,3
رولتش,3
ندارید.,3
درخواست‌های,3
میارم,3
وایتکس,3
گذاشتید.,3
زیبا،,3
وایساده,3
قیمت),3
تفکیک,3
سوالم,3
پنجاه,3
mamnun,3
آیتمی,3
جعبه.,3
یودن,3
برشتگی,3
می‌خوردم,3
تعصب,3
دمنوش,3
شلیل,3
دمتگرم,3
باشه؟,3
ریختم.,3
پولم,3
درحالیکه,3
قیمتارو,3
میومدیم,3
ظرفهای,3
سرشیر,3
کلیت,3
باگتش,3
مارکت،,3
…خوب,3
باشید!,3
وقت،,3
قاشقم,3
واو,3
ندارید،,3
نظرها,3
ارتباطی,3
سنگک،,3
تومن،,3
وداخل,3
عاللللی,3
۱:۳۰,3
کیکوک,3
تون.,3
ودرست,3
چیز‌ها,3
دستمون،,3
مدل‌ها,3
ودقیق,3
(۲,3
کیفیفت,3
میفرستادن.,3
بالها,3
نچسبه,3
تومانی،,3
بال‌ها,3
بفرستین،,3
تومان.,3
چیزیو,3
شماست.,3
بفرمائید.,3
میخورم!,3
احسن,3
بالش,3
میفرستادید,3
شناخته,3
سیبزمین,3
دایمی,3
وخوبی,3
پوتین,3
بالا‌تر,3
توجهتون.,3
بفرسته,3
have,3
ندادید,3
kami,3
تند،,3
ناراحتی,3
یکیشو,3
نوشیدنی،,3
باهاماس,3
امکانی,3
ناراحتم,3
ست،,3
نامرغوب,3
نکتار,3
عالللللللی,3
پنیرشم,3
سختیه,3
باوجودی,3
ممنوووون,3
رویی,3
دلایلی,3
دره,3
نادرست,3
توضیحات،,3
پنیر‌ها,3
مجبورشدم,3
دقیقه‌ای،,3
کجاست,3
مزاحمت,3
وزمان,3
پنیریش,3
وسیله,3
تورو,3
ورمیشل,3
قطره‌ای,3
"عالی,",3
می‌دهید,3
ادب،,3
اختیار,3
موقر,3
بلوار,3
توسرخ,3
دقیقتون,3
تنوریتون,3
برست,3
نزد,3
تنوریش,3
بفهمم,3
ندارع,3
چیزیه,3
برسم,3
شناخت,3
قاتوق,3
بلونز,3
عالیهههه,3
قاتق,3
پنینی,3
(زیتون،,3
وراضی,3
it,3
تنقلات,3
رویش,3
دفاع,3
۵۰٪,3
…سالاد,3
اداره,3
ما،,3
اومد..,3
عالی!!,3
بفروش,3
دسرها,3
شمایید,3
ادبی,3
وزنشون,3
می‌دهم.,3
دفع,3
ممنوووونم,3
میفرستند,3
معقوله,3
کتاب,3
تیکه‌ای,3
نخونده,3
کدوی,3
بعضیها,3
قارچتون,3
عااالیه.,3
رکورد,3
افس,3
گاردینو.,3
برسونه,3
کماکان,3
اخلاق‌ترین,3
نوشته‌ای,3
نزدیکتر,3
مجرب,3
سیاهدانه,3
مثبتش,3
اغماض,3
تمومش,3
بمانید.,3
وجودیکه,3
توالت,3
سنگی,3
عااالیه,3
عالییییییه,3
توکیو,3
کریپسی,3
عالی/,3
ناپلئونی‌ها,3
سرتون,3
وتمیز,3
ثابتم,3
کمم,3
امیدورام,3
بعدیم,3
درو,3
مجموعه،,3
دلپذیری,3
می‌رسد.,3
۱عدد,3
سوار,3
نکن,3
سوا,3
پنیرشون,3
نظرو,3
فیمت,3
میخورن,3
درود،,3
مثبت:,3
درونش,3
تهرانسر,3
وجی,3
یکمقدار,3
اذیتم,3
بالاست،,3
موعود,3
دستتان,3
برسه..,3
افتاده‌تر,3
keyfiat,3
تکلیف,3
ادویش,3
عادیه,3
دلسترها,3
میفرسته،,3
نعنایی,3
وزود,3
سرایدار,3
پنیرو,3
اجناستون,3
سنگینه,3
مشتریانش,3
روم,3
دستشان,3
مرس,3
نعمتی,3
کی‌اف‌سی,3
بفرستند.,3
تویه,3
سوئیت,3
اجزای,3
قطعاتش,3
اجزا,3
تیتابی,3
وطبق,3
میخورم،,3
عاای,3
In,3
رژیمم,3
چین.,3
تگری,3
وحتی,3
موادشون,3
دفعست,3
…دمتون,3
وضوح,3
اجباری,3
سوئیسی,3
اجحاف,3
دلش,3
ادویه‌ی,3
تکه‌ای,3
میشود،,3
۵۵۰,3
مجموعتون,3
شماره‌ای,3
موفقیت‌های,3
کند.,3
واقعااااا,3
سوگود,3
خیل,3
بزارم,3
خنک،,3
آبمیوه‌ای,3
مت,3
ایچ,3
…پیک,3
sandwich,3
آبی,3
خیلیا,3
شیرهای,3
هرجا,3
ایکس,3
خیلیه,3
نازکه,3
میکنین،,3
کافی.,3
خلوتی,3
قرمزه,3
پیتزاشو,3
سفارشاتی,3
همونقدر,3
خلاق,3
آتشین,3
آتی,3
متاسف,3
نبش,3
قیمه،,3
کل.,3
خعلی,3
مراقبت,3
گی,3
میگذاشتند,3
میگیم,3
خوبای,3
شیرینها,3
خوب؛,3
همزمان,3
',3
موجودی‌ها,3
هرسری,3
خوب-,3
قیمش,3
